varname,orig_q,tform_q,epsilon
age_q,18.59,-4.42,0.02
age_q,23.91,-3.09,0.02
age_q,37.97,-2.01,0.02
age_q,49.01,-1.23,0.02
age_q,70,0.45,0.02
age_q,75.98,0.96,0.02
age_q,83.58,1.7,0.02
age_q,95.24,3.09,0.02
age_q,109.91,4.42,0.02
durn_q,1,-4.42,0.08
durn_q,1.05,-3.09,0.08
durn_q,1.26,-2.51,0.08
durn_q,2,-1.73,0.08
durn_q,3,-1.26,0.08
durn_q,8.01,-0.2,0.08
durn_q,20,1.32,0.08
durn_q,29.63,2.2,0.08
durn_q,40.35,2.88,0.08
durn_q,79.25,4.42,0.08
sbp_q,84.66,-4.42,0.02
sbp_q,97.18,-3.09,0.02
sbp_q,104.17,-2.65,0.02
sbp_q,116.47,-1.68,0.02
sbp_q,142.02,0.6,0.02
sbp_q,151.97,1.37,0.02
sbp_q,160.11,1.9,0.02
sbp_q,168.12,2.33,0.02
sbp_q,175.44,2.65,0.02
sbp_q,211.04,4.42,0.02
dbp_q,46.46,-4.42,0.03
dbp_q,55.08,-3.09,0.03
dbp_q,57,-2.88,0.03
dbp_q,64.22,-1.82,0.03
dbp_q,86.16,1.16,0.03
dbp_q,90.03,1.6,0.03
dbp_q,97.75,2.33,0.03
dbp_q,100.61,2.58,0.03
dbp_q,108.08,3.09,0.03
dbp_q,121.85,4.42,0.03
hba1c_q,25.6,-4.42,0.03
hba1c_q,40.07,-3.09,0.03
hba1c_q,51.89,-1.93,0.03
hba1c_q,55,-1.15,0.03
hba1c_q,58,-0.65,0.03
hba1c_q,62.97,-0.12,0.03
hba1c_q,69.01,0.35,0.03
hba1c_q,83.22,1.16,0.03
hba1c_q,107.42,2.29,0.03
hba1c_q,156.25,4.42,0.03
tchol_q,1.29,-4.42,0.02
tchol_q,2.32,-2.75,0.02
tchol_q,3,-1.53,0.02
tchol_q,4.2,-0.04,0.02
tchol_q,5,0.72,0.02
tchol_q,5.62,1.2,0.02
tchol_q,7.17,2.23,0.02
tchol_q,8.47,2.88,0.02
tchol_q,9.14,3.09,0.02
tchol_q,16.91,4.42,0.02
hdl_q,0.22,-4.42,0.02
hdl_q,1.06,-0.13,0.02
hdl_q,1.3,0.7,0.02
hdl_q,1.5,1.27,0.02
hdl_q,1.92,2.14,0.02
hdl_q,2.41,2.88,0.02
hdl_q,2.58,3.09,0.02
hdl_q,4.03,4.42,0.02
egfr_q,30.01,-4.42,0.04
egfr_q,30.76,-3.09,0.04
egfr_q,31.14,-2.88,0.04
egfr_q,32.08,-2.58,0.04
egfr_q,32.84,-2.46,0.04
egfr_q,37.02,-2.05,0.04
egfr_q,45.85,-1.55,0.04
egfr_q,86.26,0.11,0.04
egfr_q,134.8,3.09,0.04
egfr_q,147.71,4.42,0.04
bmi_q,24,-4.41,0.08
bmi_q,24.14,-2.75,0.08
bmi_q,24.48,-2.23,0.08
bmi_q,25,-1.8,0.08
bmi_q,28.24,-0.83,0.08
bmi_q,33,0.19,0.08
bmi_q,40.99,1.28,0.08
bmi_q,51.94,2.29,0.08
bmi_q,62.65,3.09,0.08
bmi_q,84.34,4.41,0.08
ht_q,0.81,-4.42,0.01
ht_q,1.4,-3.09,0.01
ht_q,1.58,-0.97,0.01
ht_q,1.77,0.71,0.01
ht_q,1.97,3.09,0.01
ht_q,2.13,4.42,0.01
