varname,orig_q,tform_q,epsilon
age_q,18.69,-4.42,0.02
age_q,23.42,-3.09,0.02
age_q,25.76,-2.88,0.02
age_q,29.88,-2.58,0.02
age_q,48.99,-1.24,0.02
age_q,69.74,0.43,0.02
age_q,75.99,0.96,0.02
age_q,83.63,1.7,0.02
age_q,93.54,2.88,0.02
age_q,109.43,4.42,0.02
durn_q,1.01,-4.42,0.05
durn_q,1.05,-3.09,0.05
durn_q,1.28,-2.51,0.05
durn_q,2,-1.73,0.05
durn_q,3,-1.26,0.05
durn_q,8.02,-0.19,0.05
durn_q,19.97,1.31,0.05
durn_q,29.47,2.14,0.05
durn_q,33.95,2.41,0.05
durn_q,77.81,4.42,0.05
sbp_q,84.89,-4.42,0.04
sbp_q,94.86,-3.09,0.04
sbp_q,106.88,-2.37,0.04
sbp_q,112.44,-1.96,0.04
sbp_q,142.08,0.6,0.04
sbp_q,151.96,1.37,0.04
sbp_q,163.37,2.1,0.04
sbp_q,183.55,3.09,0.04
sbp_q,204.82,4.42,0.04
dbp_q,47.63,-4.42,0.01
dbp_q,54.45,-3.09,0.01
dbp_q,57.45,-2.75,0.01
dbp_q,64.47,-1.76,0.01
dbp_q,86.16,1.16,0.01
dbp_q,89.89,1.58,0.01
dbp_q,96.49,2.23,0.01
dbp_q,99.86,2.51,0.01
dbp_q,108.2,3.09,0.01
dbp_q,120.38,4.42,0.01
hba1c_q,27.35,-4.42,0.03
hba1c_q,38.98,-3.09,0.03
hba1c_q,51.82,-1.91,0.03
hba1c_q,55,-1.14,0.03
hba1c_q,58,-0.65,0.03
hba1c_q,62.97,-0.12,0.03
hba1c_q,69,0.35,0.03
hba1c_q,83.19,1.16,0.03
hba1c_q,90.08,1.48,0.03
hba1c_q,155.98,4.42,0.03
tchol_q,1.29,-4.42,0.03
tchol_q,2.25,-2.88,0.03
tchol_q,3,-1.53,0.03
tchol_q,4.2,-0.04,0.03
tchol_q,5,0.73,0.03
tchol_q,5.56,1.16,0.03
tchol_q,6.95,2.07,0.03
tchol_q,7.56,2.41,0.03
tchol_q,8.61,2.88,0.03
tchol_q,15.48,4.42,0.03
hdl_q,0.23,-4.42,0.01
hdl_q,0.43,-3.09,0.01
hdl_q,0.69,-1.98,0.01
hdl_q,1.06,-0.13,0.01
hdl_q,1.3,0.7,0.01
hdl_q,1.5,1.28,0.01
hdl_q,1.92,2.14,0.01
hdl_q,2.39,2.88,0.01
hdl_q,3.79,4.42,0.01
egfr_q,30.04,-4.42,0.05
egfr_q,30.7,-3.09,0.05
egfr_q,31.3,-2.75,0.05
egfr_q,32.1,-2.51,0.05
egfr_q,32.8,-2.41,0.05
egfr_q,37,-2.01,0.05
egfr_q,46.49,-1.51,0.05
egfr_q,86.63,0.13,0.05
egfr_q,135.13,3.09,0.05
egfr_q,146.28,4.42,0.05
bmi_q,24.01,-4.42,0.05
bmi_q,24.14,-2.75,0.05
bmi_q,24.49,-2.23,0.05
bmi_q,25,-1.8,0.05
bmi_q,28.24,-0.82,0.05
bmi_q,33.1,0.21,0.05
bmi_q,40.98,1.28,0.05
bmi_q,51.45,2.23,0.05
bmi_q,83.7,4.42,0.05
ht_q,0.82,-4.42,0.01
ht_q,1.4,-3.09,0.01
ht_q,1.58,-0.97,0.01
ht_q,1.77,0.7,0.01
ht_q,1.92,2.41,0.01
ht_q,2.11,4.42,0.01
