res,cor_m,cor_s
age_t:bmi_t,-0.2317284368595112,0.1934790648507124
age_t:dbp_t,0.05624871606345067,0.19669909566743665
age_t:durn_t,-0.12003802285659998,0.20327516696237227
age_t:egfr_t,-0.18546481532662012,0.21317496165353497
age_t:hba1c_t,-0.2244935163032122,0.18861701792476582
age_t:hdl_t,-0.22294597444003098,0.1719037152473803
age_t:ht_t,0.28961499352946074,0.2029305222489555
age_t:sbp_t,0.07628165773494112,0.20264436237371827
age_t:tchol_t,-0.45213388074821215,0.16136017574650155
bmi_t:dbp_t,-0.28404347204880376,0.1843814036714652
bmi_t:durn_t,0.300584403074809,0.16862669577409337
bmi_t:egfr_t,0.11523282654320564,0.20913523595322905
bmi_t:hba1c_t,-0.18434129250653708,0.2068555215575488
bmi_t:hdl_t,0.3654649276942764,0.17757337834531917
bmi_t:ht_t,-0.4576901492715171,0.17783973928978586
bmi_t:sbp_t,0.23134538359225285,0.18539570115598622
bmi_t:tchol_t,-0.08184805386099518,0.19563015497247516
dbp_t:durn_t,-0.05559226270753078,0.18028778714998694
dbp_t:egfr_t,-0.4196006525074984,0.1641939517640332
dbp_t:hba1c_t,-0.23402723384139673,0.1983442326316615
dbp_t:hdl_t,-0.17030604680272213,0.1910012138971907
dbp_t:ht_t,0.13074684297238612,0.19935135617927233
dbp_t:sbp_t,-0.0910566502685428,0.20783146931840651
dbp_t:tchol_t,-0.14099774805127727,0.1949427975632626
durn_t:egfr_t,0.11547049544227274,0.19647291460277408
durn_t:hba1c_t,-0.0026024998176819654,0.1839286437738686
durn_t:hdl_t,0.2046003690495976,0.1747213251046787
durn_t:ht_t,-0.4760055970012746,0.15233554944494182
durn_t:sbp_t,-0.04420819702174133,0.1841597115708403
durn_t:tchol_t,-0.08676209238210537,0.18965972853787078
egfr_t:hba1c_t,-0.21378688925202255,0.19067730380613293
egfr_t:hdl_t,-0.013734652858607343,0.19295157969494423
egfr_t:ht_t,0.09514056046589711,0.1939643257008575
egfr_t:sbp_t,-0.2549361360135112,0.17537400421033436
egfr_t:tchol_t,0.1494107023008293,0.2012965810932897
hba1c_t:hdl_t,-0.16683955330153247,0.1830171760527182
hba1c_t:ht_t,-0.3287557476718079,0.17480664549992317
hba1c_t:sbp_t,0.21996477871817996,0.2043285610886196
hba1c_t:tchol_t,0.29183483939155713,0.18933754871413208
hdl_t:ht_t,-0.2583241333520234,0.18022608241836796
hdl_t:sbp_t,0.197451772637019,0.17866667134091285
hdl_t:tchol_t,-0.013511520931266275,0.19109152282749922
ht_t:sbp_t,-0.391260886752877,0.16563864606567277
ht_t:tchol_t,-0.12098441482042394,0.19895641982936826
sbp_t:tchol_t,-0.11431457074211995,0.18902354890561895
