unq_id,n
1,4938
2,558
3,278
4,228
5,41
6,26
7,le10
8,12
9,502
10,46
11,55
12,36
13,le10
14,le10
15,12160
16,750
17,1420
18,706
19,70
20,82
21,30
22,le10
23,3393
24,361
25,181
26,158
27,23
28,24
29,le10
30,le10
31,153
32,2271
33,110
34,238
35,19
36,le10
37,le10
38,38
39,219
40,19
41,13
42,le10
43,le10
44,1189
45,148
46,76
47,65
48,11
49,12
50,le10
51,1602
52,187
53,95
54,94
55,16
56,12
57,le10
58,le10
59,1477
60,65
61,167
62,81
63,le10
64,le10
65,le10
66,9073
67,495
68,484
69,1016
70,le10
71,66
72,59
73,18
74,862
75,109
76,45
77,51
78,le10
79,le10
80,le10
81,1893
82,100
83,195
84,88
85,le10
86,le10
87,11
88,91
89,1978
90,225
91,122
92,le10
93,le10
94,13
95,1743
96,220
97,18
98,le10
99,113
100,99
101,1047
102,124
103,le10
104,54
105,49
106,le10
107,le10
108,1686
109,12
110,198
111,101
112,85
113,12
114,le10
115,958
116,102
117,47
118,53
119,le10
120,204
121,13
122,12
123,24
124,le10
125,le10
126,370
127,11
128,45
129,le10
130,27
131,le10
132,234
133,12
134,20
135,le10
136,le10
137,35
138,1047
139,125
140,60
141,59
142,le10
143,le10
144,le10
145,205
146,26
147,le10
148,le10
149,le10
150,le10
151,346
152,41
153,26
154,11
155,le10
156,le10
157,le10
158,99
159,le10
160,le10
161,le10
162,le10
163,575
164,54
165,28
166,25
167,le10
168,le10
169,le10
170,2231
171,101
172,285
173,133
174,le10
175,18
176,le10
177,le10
178,161
179,16
180,13
181,le10
182,le10
183,3903
184,201
185,226
186,415
187,23
188,27
189,15
190,le10
191,706
192,68
193,le10
194,43
195,41
196,le10
197,le10
198,251
199,35
200,12
201,18
202,le10
203,le10
204,207
205,33
206,13
207,12
208,le10
209,156
210,le10
211,le10
212,23
213,le10
214,le10
215,63
216,11
217,le10
218,le10
219,le10
220,le10
221,le10
222,1809
223,216
224,le10
225,111
226,99
227,14
228,12
229,277
230,18
231,le10
232,27
233,le10
234,le10
235,le10
236,le10
237,100
238,1955
239,201
240,106
241,11
242,14
243,le10
244,934
245,le10
246,51
247,110
248,le10
249,52
250,le10
251,le10
252,le10
253,31
254,431
255,50
256,le10
257,le10
258,19
259,577
260,36
261,32
262,61
263,15
264,le10
265,le10
266,le10
267,41
268,74
269,592
270,39
271,le10
272,le10
273,le10
274,115
275,14
276,le10
277,le10
278,le10
279,524
280,59
281,29
282,25
283,837
284,84
285,46
286,le10
287,le10
288,40
289,le10
290,le10
291,34
292,447
293,33
294,50
295,le10
296,le10
297,le10
298,380
299,39
300,20
301,21
302,le10
303,le10
304,24
305,251
306,21
307,le10
308,le10
309,le10
310,le10
311,le10
312,374
313,47
314,le10
315,17
316,21
317,le10
318,337
319,20
320,le10
321,le10
322,24
323,19
324,le10
325,957
326,125
327,55
328,48
329,le10
330,le10
331,le10
332,607
333,56
334,32
335,le10
336,41
337,le10
338,le10
339,le10
340,138
341,le10
342,le10
343,le10
344,le10
345,le10
346,le10
347,le10
348,44
349,le10
350,le10
351,648
352,44
353,41
354,72
355,le10
356,le10
357,le10
358,27
359,le10
360,le10
361,le10
362,131
363,le10
364,le10
365,le10
366,14
367,113
368,le10
369,le10
370,430
371,42
372,32
373,le10
374,14
375,le10
376,113
377,15
378,le10
379,le10
380,le10
381,624
382,59
383,38
384,46
385,le10
386,le10
387,le10
388,251
389,18
390,42
391,le10
392,le10
393,le10
394,34
395,le10
396,le10
397,le10
398,le10
399,le10
400,164
401,20
402,11
403,le10
404,le10
405,le10
406,53
407,le10
408,le10
409,le10
410,le10
411,266
412,19
413,33
414,le10
415,18
416,le10
417,106
418,12
419,le10
420,le10
421,le10
422,le10
423,le10
424,71
425,le10
426,178
427,22
428,le10
429,le10
430,le10
431,20
432,le10
433,59
434,le10
435,le10
436,le10
437,le10
438,le10
439,196
440,12
441,22
442,19
443,48
444,le10
445,le10
446,le10
447,328
448,17
449,16
450,38
451,le10
452,le10
453,le10
454,52
455,20
456,345
457,18
458,le10
459,le10
460,le10
461,le10
462,77
463,12
464,le10
465,le10
466,34
467,le10
468,le10
469,31
470,le10
471,le10
472,le10
473,30
474,le10
475,le10
476,le10
477,le10
478,le10
479,149
480,13
481,19
482,20
483,le10
484,le10
485,27
486,316
487,21
488,106
489,le10
490,le10
491,le10
492,le10
493,24
494,le10
495,le10
496,15
497,le10
498,72
499,le10
500,le10
501,le10
502,468
503,35
504,54
505,28
506,le10
507,le10
508,104
509,le10
510,le10
511,14
512,14
513,le10
514,le10
515,le10
516,le10
517,le10
518,le10
519,le10
520,le10
521,le10
522,46
523,le10
524,le10
525,le10
526,le10
527,le10
528,le10
529,le10
530,le10
531,280
532,15
533,25
534,le10
535,le10
536,167
537,11
538,le10
539,le10
540,16
541,59
542,le10
543,le10
544,le10
545,le10
546,le10
547,295
548,35
549,le10
550,le10
551,14
552,le10
553,85
554,le10
555,12
556,66
557,le10
558,le10
559,le10
560,le10
561,le10
562,le10
563,52
564,15
565,le10
566,le10
567,14
568,le10
569,le10
570,le10
571,20
572,38
573,le10
574,le10
575,le10
576,le10
577,111
578,11
579,le10
580,le10
581,le10
582,16
583,le10
584,le10
585,24
586,le10
587,le10
588,102
589,11
590,le10
591,le10
592,67
593,le10
594,le10
595,20
596,le10
597,15
598,le10
599,le10
600,le10
601,le10
602,le10
603,41
604,le10
605,le10
606,30
607,le10
608,le10
609,21
610,le10
611,le10
612,320
613,49
614,19
615,21
616,le10
617,le10
618,le10
619,le10
620,le10
621,le10
622,25
623,le10
624,le10
625,le10
626,le10
627,23
628,le10
629,le10
630,112
631,13
632,le10
633,le10
634,14
635,le10
636,51
637,le10
638,le10
639,le10
640,53
641,le10
642,124
643,16
644,le10
645,le10
646,le10
647,le10
648,69
649,le10
650,72
651,le10
652,le10
653,le10
654,le10
655,le10
656,le10
657,le10
658,le10
659,le10
660,72
661,13
662,le10
663,26
664,le10
665,le10
666,le10
667,le10
668,le10
669,le10
670,21
671,le10
672,le10
673,12
674,le10
675,17
676,le10
677,le10
678,55
679,11
680,le10
681,le10
682,le10
683,le10
684,14
685,le10
686,le10
687,le10
688,le10
689,le10
690,27
691,le10
692,121
693,le10
694,le10
695,11
696,85
697,le10
698,le10
699,le10
700,82
701,le10
702,le10
703,le10
704,le10
705,le10
706,39
707,le10
708,le10
709,le10
710,237
711,30
712,12
713,le10
714,12
715,44
716,le10
717,le10
718,le10
719,157
720,20
721,le10
722,le10
723,le10
724,le10
725,33
726,le10
727,le10
728,le10
729,14
730,le10
731,le10
732,le10
733,le10
734,le10
735,le10
736,14
737,le10
738,le10
739,114
740,le10
741,19
742,le10
743,le10
744,le10
745,le10
746,31
747,le10
748,le10
749,62
750,le10
751,le10
752,le10
753,le10
754,72
755,le10
756,le10
757,le10
758,le10
759,le10
760,32
761,le10
762,20
763,le10
764,le10
765,le10
766,65
767,le10
768,le10
769,le10
770,le10
771,15
772,le10
773,le10
774,16
775,le10
776,le10
777,21
778,le10
779,le10
780,le10
781,le10
782,le10
783,53
784,le10
785,le10
786,le10
787,le10
788,le10
789,38
790,le10
791,17
792,le10
793,le10
794,le10
795,37
796,le10
797,le10
798,23
799,le10
800,le10
801,le10
802,17
803,le10
804,12
805,50
806,11
807,le10
808,le10
809,le10
810,le10
811,12
812,le10
813,le10
814,le10
815,49
816,le10
817,le10
818,21
819,le10
820,le10
821,60
822,le10
823,le10
824,le10
825,26
826,le10
827,le10
828,22
829,le10
830,le10
831,le10
832,le10
833,31
834,le10
835,43
836,le10
837,le10
838,le10
839,18
840,le10
841,le10
842,le10
843,le10
844,18
845,le10
846,20
847,le10
848,le10
849,49
850,le10
851,le10
852,le10
853,16
854,le10
855,32
856,le10
857,le10
858,le10
859,46
860,le10
861,le10
862,le10
863,49
864,le10
865,19
866,22
867,le10
868,le10
869,57
870,le10
871,le10
872,le10
873,le10
874,le10
875,20
876,le10
877,le10
878,le10
879,13
880,35
881,le10
882,le10
883,le10
884,le10
885,26
886,le10
887,17
888,le10
889,le10
890,62
891,le10
892,le10
893,le10
894,le10
895,le10
896,le10
897,52
898,le10
899,le10
900,14
901,le10
902,le10
903,le10
904,le10
905,40
906,le10
907,le10
908,le10
909,le10
910,le10
911,le10
912,le10
913,le10
914,14
915,le10
916,le10
917,28
918,le10
919,le10
920,le10
921,13
922,le10
923,le10
924,14
925,le10
926,29
927,le10
928,le10
929,le10
930,22
931,le10
932,le10
933,le10
934,le10
935,le10
936,le10
937,le10
938,le10
939,le10
940,le10
941,46
942,le10
943,le10
944,le10
945,28
946,le10
947,le10
948,15
949,le10
950,le10
951,le10
952,le10
953,le10
954,15
955,le10
956,23
957,le10
958,le10
959,le10
960,le10
961,le10
962,le10
963,13
964,le10
965,le10
966,le10
967,23
968,le10
969,le10
970,17
971,le10
972,11
973,le10
974,12
975,le10
976,le10
977,le10
978,le10
979,le10
980,le10
981,le10
982,le10
983,le10
984,le10
985,le10
986,le10
987,16
988,le10
989,14
990,le10
991,le10
992,le10
993,le10
994,le10
995,le10
996,le10
997,le10
998,15
999,le10
1000,le10
1001,le10
1002,le10
1003,le10
1004,22
1005,le10
1006,le10
1007,le10
1008,le10
1009,24
1010,le10
1011,le10
1012,le10
1013,le10
1014,le10
1015,le10
1016,le10
1017,le10
1018,le10
1019,le10
1020,le10
1021,13
1022,le10
1023,27
1024,le10
1025,le10
1026,le10
1027,12
1028,le10
1029,le10
1030,le10
1031,12
1032,le10
1033,le10
1034,19
1035,le10
1036,le10
1037,le10
1038,le10
1039,le10
1040,le10
1041,le10
1042,14
1043,le10
1044,le10
1045,le10
1046,le10
1047,13
1048,le10
1049,le10
1050,29
1051,le10
1052,le10
1053,le10
1054,le10
1055,le10
1056,le10
1057,le10
1058,le10
1059,le10
1060,le10
1061,le10
1062,le10
1063,le10
1064,le10
1065,le10
1066,le10
1067,14
1068,le10
1069,le10
1070,le10
1071,le10
1072,le10
1073,le10
1074,le10
1075,le10
1076,le10
1077,17
1078,le10
1079,le10
1080,le10
1081,le10
1082,le10
1083,le10
1084,le10
1085,le10
1086,le10
1087,le10
1088,le10
1089,le10
1090,le10
1091,le10
1092,22
1093,le10
1094,le10
1095,le10
1096,le10
1097,21
1098,le10
1099,le10
1100,21
1101,le10
1102,le10
1103,le10
1104,le10
1105,13
1106,le10
1107,le10
1108,le10
1109,le10
1110,le10
1111,le10
1112,le10
1113,le10
1114,le10
1115,le10
1116,le10
1117,le10
1118,27
1119,le10
1120,le10
1121,19
1122,le10
1123,le10
1124,le10
1125,le10
1126,le10
1127,le10
1128,13
1129,le10
1130,le10
1131,11
1132,le10
1133,le10
1134,le10
1135,20
1136,le10
1137,25
1138,le10
1139,le10
1140,le10
1141,le10
1142,le10
1143,le10
1144,11
1145,le10
1146,le10
1147,le10
1148,le10
1149,le10
1150,le10
1151,16
1152,le10
1153,le10
1154,le10
1155,le10
1156,le10
1157,le10
1158,11
1159,le10
1160,le10
1161,le10
1162,15
1163,le10
1164,le10
1165,le10
1166,le10
1167,le10
1168,26
1169,le10
1170,le10
1171,le10
1172,le10
1173,le10
1174,le10
1175,le10
1176,14
1177,le10
1178,le10
1179,le10
1180,le10
1181,le10
1182,12
1183,le10
1184,le10
1185,le10
1186,le10
1187,le10
1188,24
1189,le10
1190,le10
1191,le10
1192,le10
1193,le10
1194,le10
1195,le10
1196,11
1197,le10
1198,le10
1199,le10
1200,le10
1201,le10
1202,12
1203,le10
1204,le10
1205,le10
1206,12
1207,le10
1208,le10
1209,le10
1210,le10
1211,le10
1212,12
1213,le10
1214,le10
1215,le10
1216,le10
1217,le10
1218,14
1219,le10
1220,le10
1221,le10
1222,le10
1223,le10
1224,le10
1225,le10
1226,le10
1227,le10
1228,le10
1229,le10
1230,le10
1231,le10
1232,le10
1233,le10
1234,le10
1235,le10
1236,le10
1237,le10
1238,le10
1239,le10
1240,le10
1241,le10
1242,19
1243,le10
1244,le10
1245,le10
1246,le10
1247,le10
1248,le10
1249,le10
1250,le10
1251,le10
1252,le10
1253,le10
1254,le10
1255,le10
1256,25
1257,le10
1258,le10
1259,le10
1260,le10
1261,le10
1262,le10
1263,le10
1264,le10
1265,le10
1266,le10
1267,le10
1268,le10
1269,le10
1270,le10
1271,16
1272,le10
