res,cor_m,cor_s
age_t:bmi_t,-0.23019889891430537,0.17893344247149442
age_t:dbp_t,0.055905562911167425,0.1871924386155943
age_t:durn_t,-0.09989919260356475,0.18249934358030137
age_t:egfr_t,-0.19323878068489322,0.16977878186274742
age_t:hba1c_t,-0.25944445664945837,0.1600850268074635
age_t:hdl_t,-0.23554645872817803,0.14472867397577627
age_t:ht_t,0.2902491685764656,0.1714818732597097
age_t:sbp_t,0.0655449900217908,0.1866864180320904
age_t:tchol_t,-0.4646431816993534,0.14833498880656226
bmi_t:dbp_t,-0.2958210360910132,0.15732792591378145
bmi_t:durn_t,0.29618405321230173,0.16359686156350084
bmi_t:egfr_t,0.10910850779510768,0.18525004675214413
bmi_t:hba1c_t,-0.1860171093265211,0.1710995760547878
bmi_t:hdl_t,0.36617999975686805,0.1373993724150578
bmi_t:ht_t,-0.46831651472084024,0.1459105915771875
bmi_t:sbp_t,0.2421163147263812,0.19480451798683746
bmi_t:tchol_t,-0.09380160841253636,0.17587915975285476
dbp_t:durn_t,-0.08388791076160594,0.1842409100688203
dbp_t:egfr_t,-0.4603467831626592,0.1464580987666031
dbp_t:hba1c_t,-0.21450713769042362,0.1646168390442458
dbp_t:hdl_t,-0.2186015813244402,0.171330799417491
dbp_t:ht_t,0.16513868975888307,0.17757453698733963
dbp_t:sbp_t,-0.0940704328415873,0.18782808017663405
dbp_t:tchol_t,-0.15008247200426172,0.17971012317219495
durn_t:egfr_t,0.10040851287801279,0.1751664592222441
durn_t:hba1c_t,0.04358117689077917,0.16841305522167108
durn_t:hdl_t,0.1868538767419914,0.1680358531480873
durn_t:ht_t,-0.4691580202859384,0.15238156684138
durn_t:sbp_t,-0.05552197239838028,0.18752280541611382
durn_t:tchol_t,-0.08976557498597684,0.16555521958247257
egfr_t:hba1c_t,-0.16062148725581551,0.17307436205506296
egfr_t:hdl_t,-0.04645668413139581,0.18383418742262403
egfr_t:ht_t,0.11385747111465762,0.16797694674889052
egfr_t:sbp_t,-0.23959805388372052,0.15229481632469222
egfr_t:tchol_t,0.18319397025313974,0.1685824394619147
hba1c_t:hdl_t,-0.092927387952752,0.1813875669357165
hba1c_t:ht_t,-0.4091316540840083,0.1526395685627211
hba1c_t:sbp_t,0.21494387944641075,0.19785533119555324
hba1c_t:tchol_t,0.3224729724760882,0.16121881871141774
hdl_t:ht_t,-0.23635274050657293,0.15150700328659203
hdl_t:sbp_t,0.23121207639875124,0.17171351122131245
hdl_t:tchol_t,0.009932377539734078,0.1569064864970316
ht_t:sbp_t,-0.40373634482336235,0.16279341889139334
ht_t:tchol_t,-0.11294688733824874,0.17175248343993643
sbp_t:tchol_t,-0.09759700233223352,0.17466092156334753
