unq_id,n
1,5523
2,77
3,50
4,40
5,13475
6,273
7,573
8,272
9,2625
10,76
11,37
12,29
13,1231
14,1443
15,1639
16,9347
17,3034
18,792
19,1932
20,2008
21,366
22,178
23,187
24,1172
25,1681
26,69
27,147
28,57
29,165
30,64
31,78
32,228
33,308
34,215
35,le10
36,le10
37,le10
38,923
39,32
40,13
41,25
42,132
43,63
44,66
45,170
46,962
47,454
48,453
49,33
50,37
51,78
52,30
53,le10
54,14
55,485
56,2445
57,31
58,15
59,25
60,4534
61,751
62,204
63,209
64,94
65,83
66,199
67,168
68,72
69,866
70,1556
71,253
72,1416
73,891
74,865
75,453
76,428
77,482
78,345
79,184
80,183
81,81
82,28
83,30
84,64
85,26
86,20
87,19
88,561
89,281
90,146
91,134
92,80
93,19
94,34
95,17
96,783
97,446
98,1479
99,304
100,100
101,229
102,107
103,le10
104,le10
105,le10
106,254
107,77
108,48
109,42
110,83
111,57
112,66
113,361
114,116
115,64
116,77
117,609
118,217
119,94
120,108
121,942
122,74
123,25
124,25
125,126
126,26
127,41
128,70
129,16
130,30
131,21
132,480
133,266
134,235
135,le10
136,le10
137,le10
138,727
139,49
140,18
141,25
142,25
143,71
144,15
145,le10
146,le10
147,220
148,103
149,60
150,143
151,78
152,35
153,22
154,60
155,34
156,494
157,24
158,55
159,16
160,le10
161,17
162,le10
163,204
164,71
165,25
166,20
167,307
168,101
169,60
170,93
171,50
172,64
173,185
174,11
175,15
176,11
177,le10
178,45
179,132
180,185
181,le10
182,13
183,le10
184,326
185,601
186,420
187,23
188,17
189,36
190,le10
191,le10
192,le10
193,70
194,21
195,53
196,33
197,27
198,18
199,21
200,138
201,69
202,66
203,149
204,80
205,75
206,178
207,86
208,191
209,92
210,171
211,23
212,21
213,16
214,24
215,16
216,23
217,17
218,401
219,le10
220,63
221,72
222,144
223,61
224,288
225,133
226,148
227,35
228,37
229,70
230,60
231,17
232,154
233,579
234,le10
235,le10
236,le10
237,le10
238,320
239,102
240,51
241,37
242,29
243,22
244,18
245,52
246,21
247,26
248,17
249,17
250,33
251,31
252,le10
253,14
254,51
255,77
256,173
257,91
258,348
259,le10
260,le10
261,le10
262,43
