gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
female,white,0,1,0,0,0,0,0,0,1
female,black,0,1,1,0,1,0,0,0,2
female,black,0,1,1,0,0,1,0,0,3
female,black,0,1,1,0,0,0,1,0,4
male,white,0,1,1,0,0,0,0,0,5
female,white,1,1,1,0,0,1,0,0,6
female,white,1,1,1,0,1,0,0,0,7
female,white,1,1,1,0,0,0,1,0,8
male,white,0,1,1,0,0,0,0,1,9
female,white,1,1,1,1,1,0,0,1,10
female,white,1,1,1,1,0,0,1,1,11
female,white,1,1,1,1,0,1,0,1,12
female,white,1,1,1,0,0,0,0,1,13
male,white,0,0,0,1,0,0,0,0,14
female,white,0,1,1,0,0,0,0,1,15
female,white,0,1,1,0,0,0,0,0,16
female,white,1,1,1,0,0,0,0,0,17
female,white,0,0,0,1,0,0,0,1,18
female,white,0,0,0,0,0,0,0,0,19
male,asian,0,1,1,0,0,0,0,0,20
female,white,0,0,0,1,1,0,0,0,21
female,white,0,0,0,1,0,0,1,0,22
female,white,0,0,0,1,0,1,0,0,23
male,white,0,0,0,0,0,0,0,1,24
male,white,1,1,1,0,0,0,0,0,25
female,white,1,1,1,0,0,1,0,1,26
female,white,1,1,1,0,1,0,0,1,27
female,white,1,1,1,0,0,0,1,1,28
female,white,0,1,0,1,1,0,0,0,29
female,white,0,1,0,1,0,1,0,0,30
female,white,0,1,0,1,0,0,1,0,31
male,other,0,1,0,0,0,0,0,0,32
female,other,0,1,1,0,0,0,0,0,33
male,asian,0,0,0,0,0,0,0,0,34
male,other,1,0,0,0,1,0,0,1,35
male,other,1,0,0,0,0,0,1,1,36
male,other,1,0,0,0,0,1,0,1,37
female,asian,0,1,1,0,0,0,0,0,38
male,NA,0,1,1,0,1,0,0,0,39
male,NA,0,1,1,0,0,0,1,0,40
male,NA,0,1,1,0,0,1,0,0,41
female,white,1,0,0,1,1,0,0,0,42
female,white,1,0,0,1,0,1,0,0,43
female,white,1,0,0,1,0,0,1,0,44
female,white,1,0,0,1,0,0,0,0,45
female,white,0,1,1,0,1,0,0,0,46
female,white,0,1,1,0,0,0,1,0,47
female,white,0,1,1,0,0,1,0,0,48
female,other,0,1,1,0,0,1,0,0,49
female,other,0,1,1,0,0,0,1,0,50
female,other,0,1,1,0,1,0,0,0,51
female,NA,1,1,1,0,1,0,0,0,52
female,NA,1,1,1,0,0,1,0,0,53
female,NA,1,1,1,0,0,0,1,0,54
female,white,1,0,0,0,0,0,0,0,55
male,white,0,0,0,0,0,0,0,0,56
male,white,1,0,0,1,1,0,0,1,57
male,white,1,0,0,1,0,0,1,1,58
male,white,1,0,0,1,0,1,0,1,59
male,white,0,1,0,0,0,0,0,0,60
male,white,1,1,1,0,0,0,0,1,61
male,black,1,1,1,0,0,0,0,0,62
female,asian,0,1,1,0,1,0,0,0,63
female,asian,0,1,1,0,0,1,0,0,64
female,asian,0,1,1,0,0,0,1,0,65
NA,white,0,1,1,0,0,0,0,0,66
female,asian,0,1,1,0,0,0,0,1,67
NA,white,1,1,1,0,0,0,0,1,68
female,white,0,1,0,1,0,0,0,0,69
male,white,0,1,1,1,0,0,0,0,70
male,white,1,0,0,0,0,0,0,0,71
female,white,0,1,1,1,0,0,0,0,72
male,white,0,0,0,1,0,0,0,1,73
male,white,0,1,1,0,1,0,0,0,74
male,white,0,1,1,0,0,1,0,0,75
male,white,0,1,1,0,0,0,1,0,76
female,black,0,1,1,0,0,0,0,0,77
male,white,0,1,1,1,1,0,0,0,78
male,white,0,1,1,1,0,0,1,0,79
male,white,0,1,1,1,0,1,0,0,80
male,asian,1,1,1,0,1,0,0,0,81
male,asian,1,1,1,0,0,1,0,0,82
male,asian,1,1,1,0,0,0,1,0,83
female,asian,0,1,0,0,1,0,0,0,84
female,asian,0,1,0,0,0,0,1,0,85
female,asian,0,1,0,0,0,1,0,0,86
female,black,0,0,0,0,0,0,0,1,87
male,white,0,1,1,1,0,0,0,1,88
female,white,0,1,0,0,1,0,0,0,89
female,white,0,1,0,0,0,1,0,0,90
female,white,0,1,0,0,0,0,1,0,91
male,white,1,1,1,1,0,0,0,1,92
male,asian,0,1,0,0,0,0,1,0,93
male,asian,0,1,0,0,1,0,0,0,94
male,asian,0,1,0,0,0,1,0,0,95
male,other,0,1,1,0,0,0,0,0,96
female,white,1,0,0,0,0,0,0,1,97
female,white,0,0,0,1,0,0,0,0,98
female,black,1,1,1,0,0,0,0,0,99
male,asian,0,1,1,0,0,0,1,0,100
male,asian,0,1,1,0,1,0,0,0,101
male,asian,0,1,1,0,0,1,0,0,102
male,other,0,0,0,1,1,0,0,0,103
male,other,0,0,0,1,0,0,1,0,104
male,other,0,0,0,1,0,1,0,0,105
NA,white,0,1,0,0,0,0,0,0,106
female,black,1,1,1,0,1,0,0,0,107
female,black,1,1,1,0,0,1,0,0,108
female,black,1,1,1,0,0,0,1,0,109
female,white,1,0,0,1,1,0,0,1,110
female,white,1,0,0,1,0,1,0,1,111
female,white,1,0,0,1,0,0,1,1,112
male,asian,0,1,1,0,0,0,0,1,113
male,black,0,1,1,0,1,0,0,0,114
male,black,0,1,1,0,0,1,0,0,115
male,black,0,1,1,0,0,0,1,0,116
male,white,0,1,0,1,0,0,0,0,117
male,white,1,1,1,0,1,0,0,0,118
male,white,1,1,1,0,0,0,1,0,119
male,white,1,1,1,0,0,1,0,0,120
male,black,0,1,1,0,0,0,0,0,121
female,white,1,0,0,0,1,0,0,1,122
female,white,1,0,0,0,0,1,0,1,123
female,white,1,0,0,0,0,0,1,1,124
female,asian,0,0,0,0,0,0,0,0,125
male,white,0,1,0,1,0,1,0,0,126
male,white,0,1,0,1,0,0,1,0,127
male,white,0,1,0,1,1,0,0,0,128
NA,white,0,1,1,0,0,1,0,0,129
NA,white,0,1,1,0,1,0,0,0,130
